OSG_GP_CE01	Gridplexus	Gridplexus	CE01.OSG.gridplexus.net	NULL	NULL
GridUNESP_CENTRAL	GridUNESP_CENTRAL	GridUNESP_CENTRAL	ce.grid.unesp.br	NULL	NULL
GridUNESP_CENTRAL	GridUNESP_CENTRAL	GridUNESP_CENTRAL_SE	se.grid.unesp.br	NULL	NULL
GridUNESP_CENTRAL	GridUNESP_SPO	GridUNESP_SPO	ce.spo.grid.unesp.br	NULL	NULL
GROW	GROW-PROD	GROW_GUMS	grow-voms.its.uiowa.edu	NULL	NULL
GROW	GROW-PROD	GROW_STOR	grow-stor.its.uiowa.edu	NULL	NULL
GROW	GROW-PROD	GROW_VOMS	grow-voms.its.uiowa.edu	NULL	NULL
GROW	GROW-PROD	GROW-GRID	grow-grid.its.uiowa.edu	0	NULL
GROW	GROW-ITB	GROW-ITB	grow-itb.its.uiowa.edu	NULL	NULL
GROW	GROW-PROD	GROW-PROD	grow-prod.its.uiowa.edu	NULL	NULL
GROW	GROW-PROD	GROW-SE	grow-grid.its.uiowa.edu	0	NULL
PPCF_ATLAS	Hampton PPCF ATLAS	Hampton_ATLAS_CE	hugrid02.hamptonu.edu	NULL	NULL
Nebraska-Lincoln	HCC Submitters	HCC GlideinWMS Frontend	glidein.unl.edu	NULL	NULL
Nebraska-Lincoln	HCC Submitters	HCC-CPASS	cpass.unl.edu	NULL	NULL
HMS	HMS-Orchestra	HMS-Orchestra-Dev	dev.osg.orchestra.med.harvard.edu	NULL	NULL
Harvard University	HU_ATLAS_Tier2	HU_ATLAS_Tier2	net2.rc.fas.harvard.edu	NULL	NULL
Harvard University	HU_ATLAS_Tier2	HU_ATLAS_Tier2_CE	net3.rc.fas.harvard.edu	NULL	NULL
UW-IT	Hyak	Hyak_CE	osg.hyak.washington.edu	NULL	NULL
Illinois High Energy Physics	IllinoisHEP	IllinoisHEP	osgx0.hep.uiuc.edu	NULL	NULL
Illinois High Energy Physics	IllinoisHEP	IllinoisHEP-GUMS	osggums.hep.uiuc.edu	NULL	NULL
Illinois High Energy Physics	IllinoisHEP	IllinoisHEP-LFC	osgx3.hep.uiuc.edu	NULL	NULL
Illinois High Energy Physics	IllinoisHEP	IllinoisHEP-SE	osgx1.hep.uiuc.edu	NULL	NULL
ILS	Jupiter	ILS_compute	jupiter.ils.indiana.edu	NULL	NULL
IU UITS	OSG_TWiki	Image_Server	gocbox.grid.iu.edu	NULL	NULL
Indiana University Physics	Indiana_ATLAS_Tier3	Indiana_Physics_ATLAS	bolt.physics.indiana.edu	NULL	NULL
INFN-PADOVA	SBGrid	INFNPD-GlideinWMS-Schedd	ui-wenmr.pd.infn.it	NULL	NULL
